"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"OL67_000332" 215 1122 903 763 267 363 392 326 424 396 538 804
"OL67_000333" 725 828 513 593 739 1002 902 868 1162 528 685 1014
"OL67_000334" 362 417 247 161 466 595 552 448 653 284 424 565
"OL67_000335" 1228 1371 1098 1147 1083 1610 1344 1217 1597 719 883 1419
"OL67_000336" 1222 1504 1203 924 1219 1668 1721 1269 1797 775 1009 1615
"OL67_000337" 2296 1018 927 1428 1519 2455 1615 1491 2171 1173 1255 2096
"OL67_000338" 1349 1166 1024 1248 1557 2312 2007 1763 2295 1268 1398 2350
"OL67_000339" 2338 1792 1464 2160 2160 3237 2730 2513 3033 1807 2197 3413
"OL67_000340" 24626 21254 17213 20996 19443 29049 19036 21379 26420 12256 15476 24205
"OL67_000341" 163 152 119 147 179 310 353 267 399 87 131 217
"OL67_000342" 482 535 424 676 353 569 603 523 751 261 352 531
"OL67_000343" 2809 7177 4706 6856 2450 3437 4071 3396 5399 3224 4398 5940
"OL67_000344" 1144 1197 869 1651 811 1187 1139 1013 1283 659 1031 1253
"OL67_000345" 1896 3051 2305 2472 2166 3229 2563 2674 3393 1747 2234 3560
"OL67_000346" 1025 2029 1623 1993 827 1309 2268 2023 3187 1466 1934 2582
"OL67_000347" 1161 3050 2446 4309 1248 1964 3523 3899 5897 2437 3216 4689
"OL67_000348" 973 2107 1862 4014 902 1294 3098 2938 3979 1480 1947 2828
"OL67_000349" 2620 5025 4072 8201 1615 2556 6358 6075 8546 3531 4559 6201
"OL67_000350" 424 1635 1241 1677 585 874 1999 2240 3031 1277 1917 2549
"OL67_000351" 2869 7566 6376 10130 2343 3421 9315 8850 11898 5236 7368 9532
"OL67_000352" 2963 10093 8072 12427 3303 4493 13623 14281 17830 5393 7131 10748
"OL67_000353" 462 908 726 850 429 609 1005 872 1215 516 765 932
"OL67_000354" 1096 423 380 712 806 1345 884 686 1000 375 613 655
"OL67_000355" 185 101 64 131 133 229 171 110 144 89 125 125
"OL67_000356" 737 261 258 316 541 893 533 461 694 288 465 494
"OL67_000357" 671 197 118 206 502 632 428 428 596 211 301 329
"OL67_000358" 191 55 38 50 150 234 149 92 204 53 80 64
"OL67_000359" 809 337 221 227 724 985 611 573 810 265 389 454
"OL67_000360" 1457 1409 1022 1400 1012 1499 1091 977 1512 1160 1387 2411
"OL67_000361" 16 14 17 36 17 30 10 13 17 12 23 21
"OL67_000362" 25 52 38 76 25 54 32 39 44 29 42 57
"OL67_000363" 46 56 34 51 49 80 49 37 77 16 22 40
"OL67_000364" 51 35 26 39 45 70 42 44 67 24 24 63
"OL67_000365" 30 44 27 17 20 32 40 39 45 31 37 61
"OL67_000366" 55 478 356 664 59 87 86 68 112 337 556 583
"OL67_000367" 17 171 117 212 26 33 38 31 55 119 244 226
"OL67_000368" 39 203 169 349 47 78 85 66 84 148 277 267
"OL67_000369" 52 259 266 503 51 88 81 66 101 224 544 450
"OL67_000370" 52 270 263 588 66 86 87 76 89 228 424 337
"OL67_000371" 24 114 110 236 40 35 51 37 63 110 222 216
"OL67_000372" 71 100 74 191 17 44 35 45 42 86 184 128
"OL67_000373" 24 82 66 133 30 55 43 47 55 63 98 113
"OL67_000374" 247 363 246 310 220 365 277 245 391 237 331 453
"OL67_000375" 188 255 169 222 151 252 265 208 290 166 208 273
"OL67_000376" 448 304 207 201 499 551 548 480 730 213 276 365
"OL67_000377" 1006 503 356 524 583 961 669 693 941 338 407 522
"OL67_000378" 356 205 144 179 362 540 331 320 542 113 135 238
"OL67_000379" 372 205 108 209 287 486 343 346 489 128 155 210
"OL67_000380" 363 240 175 146 393 563 462 447 598 90 174 268
